 * Serving Flask app 'Backend_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.0.4.122:5001
Press CTRL+C to quit
127.0.0.1 - - [22/Sep/2026 23:24:24] "GET /actual HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:34] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:34] "GET /static/style.css HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:34] "GET /static/script.js HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:35] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:36] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:36] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:37] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:37] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:38] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:38] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:39] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:39] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:40] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:40] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:41] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:41] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:42] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:42] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:43] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:43] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:44] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:44] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:45] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:45] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:46] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:46] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:47] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:48] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:48] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:48] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:49] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:49] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:50] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:50] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:51] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:51] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:52] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:52] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:53] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:53] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:54] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:54] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:55] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:55] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:56] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:56] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:57] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:57] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:58] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:58] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:59] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:24:59] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:00] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:00] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:01] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:02] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:02] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:03] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:03] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:03] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:04] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:04] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:05] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:05] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:06] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
